Effective Radius [µm], Depth [m], IWC [g/m³], SW RF [W/m²]
1.103262e+01,1.929867e+02,1.970531e-03,-5.357200e+00
1.103262e+01,1.743000e+02,1.970531e-03,-4.855100e+00
1.103262e+01,1.506973e+02,1.970531e-03,-4.247400e+00
1.103262e+01,1.192954e+02,1.970531e-03,-3.402000e+00
1.103262e+01,7.032539e+01,1.970531e-03,-2.108300e+00
1.198306e+01,7.931558e+01,1.953231e-03,-2.105500e+00
1.198306e+01,1.345458e+02,1.953231e-03,-3.432500e+00
1.198306e+01,1.699620e+02,1.953231e-03,-4.262400e+00
1.198306e+01,1.965820e+02,1.953231e-03,-4.902700e+00
1.198306e+01,2.176575e+02,1.953231e-03,-5.400700e+00
1.198306e+01,2.346870e+02,1.953231e-03,-5.804000e+00
1.198306e+01,2.485038e+02,1.953231e-03,-6.136000e+00
1.198306e+01,2.596212e+02,1.953231e-03,-6.397000e+00
1.198306e+01,2.683749e+02,1.953231e-03,-6.586700e+00
1.198306e+01,2.749908e+02,1.953231e-03,-6.752700e+00
1.198306e+01,2.796206e+02,1.953231e-03,-6.871300e+00
1.198306e+01,2.823620e+02,1.953231e-03,-6.918700e+00
1.198306e+01,2.832699e+02,1.953231e-03,-6.942500e+00
1.198306e+01,2.823620e+02,1.953231e-03,-6.918700e+00
1.198306e+01,2.796206e+02,1.953231e-03,-6.871300e+00
1.198306e+01,2.749908e+02,1.953231e-03,-6.752700e+00
1.198306e+01,2.683749e+02,1.953231e-03,-6.586700e+00
1.198306e+01,2.596212e+02,1.953231e-03,-6.397000e+00
1.198306e+01,2.485038e+02,1.953231e-03,-6.136000e+00
1.198306e+01,2.346870e+02,1.953231e-03,-5.804000e+00
1.198306e+01,2.176575e+02,1.953231e-03,-5.400700e+00
1.198306e+01,1.965820e+02,1.953231e-03,-4.902700e+00
1.198306e+01,1.699620e+02,1.953231e-03,-4.262400e+00
1.198306e+01,1.345458e+02,1.953231e-03,-3.432500e+00
1.198306e+01,7.931558e+01,1.953231e-03,-2.105500e+00
1.299170e+01,8.954396e+01,1.934745e-03,-2.130800e+00
1.299170e+01,1.518965e+02,1.934745e-03,-3.453900e+00
1.299170e+01,1.918799e+02,1.934745e-03,-4.307900e+00
1.299170e+01,2.219328e+02,1.934745e-03,-4.948500e+00
1.299170e+01,2.457262e+02,1.934745e-03,-5.461000e+00
1.299170e+01,2.649518e+02,1.934745e-03,-5.866800e+00
1.299170e+01,2.805503e+02,1.934745e-03,-6.208500e+00
1.299170e+01,2.931014e+02,1.934745e-03,-6.464800e+00
1.299170e+01,3.029840e+02,1.934745e-03,-6.678300e+00
1.299170e+01,3.104530e+02,1.934745e-03,-6.827800e+00
1.299170e+01,3.156799e+02,1.934745e-03,-6.955900e+00
1.299170e+01,3.187749e+02,1.934745e-03,-7.019900e+00
1.299170e+01,3.197999e+02,1.934745e-03,-7.041300e+00
1.299170e+01,3.187749e+02,1.934745e-03,-7.019900e+00
1.299170e+01,3.156799e+02,1.934745e-03,-6.955900e+00
1.299170e+01,3.104530e+02,1.934745e-03,-6.827800e+00
1.299170e+01,3.029840e+02,1.934745e-03,-6.678300e+00
1.299170e+01,2.931014e+02,1.934745e-03,-6.464800e+00
1.299170e+01,2.805503e+02,1.934745e-03,-6.208500e+00
1.299170e+01,2.649518e+02,1.934745e-03,-5.866800e+00
1.299170e+01,2.457262e+02,1.934745e-03,-5.461000e+00
1.299170e+01,2.219328e+02,1.934745e-03,-4.948500e+00
1.299170e+01,1.918799e+02,1.934745e-03,-4.307900e+00
1.299170e+01,1.518965e+02,1.934745e-03,-3.453900e+00
1.299170e+01,8.954396e+01,1.934745e-03,-2.130800e+00
1.406422e+01,1.011975e+02,1.914541e-03,-2.149700e+00
1.406422e+01,1.716649e+02,1.914541e-03,-3.526700e+00
1.406422e+01,2.168519e+02,1.914541e-03,-4.399800e+00
1.406422e+01,2.508160e+02,1.914541e-03,-5.059400e+00
1.406422e+01,2.777059e+02,1.914541e-03,-5.583400e+00
1.406422e+01,2.994336e+02,1.914541e-03,-5.990800e+00
1.406422e+01,3.170622e+02,1.914541e-03,-6.340100e+00
1.406422e+01,3.312467e+02,1.914541e-03,-6.611700e+00
1.406422e+01,3.424155e+02,1.914541e-03,-6.825100e+00
1.406422e+01,3.508566e+02,1.914541e-03,-6.999700e+00
1.406422e+01,3.567637e+02,1.914541e-03,-7.116100e+00
1.406422e+01,3.602614e+02,1.914541e-03,-7.174300e+00
1.406422e+01,3.614198e+02,1.914541e-03,-7.193700e+00
1.406422e+01,3.602614e+02,1.914541e-03,-7.174300e+00
1.406422e+01,3.567637e+02,1.914541e-03,-7.116100e+00
1.406422e+01,3.508566e+02,1.914541e-03,-6.999700e+00
1.406422e+01,3.424155e+02,1.914541e-03,-6.825100e+00
1.406422e+01,3.312467e+02,1.914541e-03,-6.611700e+00
1.406422e+01,3.170622e+02,1.914541e-03,-6.340100e+00
1.406422e+01,2.994336e+02,1.914541e-03,-5.990800e+00
1.406422e+01,2.777059e+02,1.914541e-03,-5.583400e+00
1.406422e+01,2.508160e+02,1.914541e-03,-5.059400e+00
1.406422e+01,2.168519e+02,1.914541e-03,-4.399800e+00
1.406422e+01,1.716649e+02,1.914541e-03,-3.526700e+00
1.406422e+01,1.011975e+02,1.914541e-03,-2.149700e+00
1.520377e+01,1.144756e+02,1.891468e-03,-2.165300e+00
1.520377e+01,1.941890e+02,1.891468e-03,-3.563900e+00
1.520377e+01,2.453049e+02,1.891468e-03,-4.455800e+00
1.520377e+01,2.837254e+02,1.891468e-03,-5.138000e+00
1.520377e+01,3.141436e+02,1.891468e-03,-5.662600e+00
1.520377e+01,3.387222e+02,1.891468e-03,-6.099800e+00
1.520377e+01,3.586638e+02,1.891468e-03,-6.449600e+00
1.520377e+01,3.747095e+02,1.891468e-03,-6.729300e+00
1.520377e+01,3.873437e+02,1.891468e-03,-6.939100e+00
1.520377e+01,3.968923e+02,1.891468e-03,-7.113900e+00
1.520377e+01,4.035744e+02,1.891468e-03,-7.236300e+00
1.520377e+01,4.075312e+02,1.891468e-03,-7.306300e+00
1.520377e+01,4.088415e+02,1.891468e-03,-7.323700e+00
1.520377e+01,4.075312e+02,1.891468e-03,-7.306300e+00
1.520377e+01,4.035744e+02,1.891468e-03,-7.236300e+00
1.520377e+01,3.968923e+02,1.891468e-03,-7.113900e+00
1.520377e+01,3.873437e+02,1.891468e-03,-6.939100e+00
1.520377e+01,3.747095e+02,1.891468e-03,-6.729300e+00
1.520377e+01,3.586638e+02,1.891468e-03,-6.449600e+00
1.520377e+01,3.387222e+02,1.891468e-03,-6.099800e+00
1.520377e+01,3.141436e+02,1.891468e-03,-5.662600e+00
