Effective Radius [µm], Depth [m], IWC [g/m³], LW RF [W/m²]
1.676638e+01,1.192954e+02,8.415190e-04,1.121600e+00
1.579925e+01,1.506973e+02,1.020553e-03,1.764300e+00
1.466558e+01,1.743000e+02,1.219770e-03,2.542900e+00
1.360699e+01,1.929867e+02,1.435710e-03,3.523900e+00
1.268604e+01,2.080860e+02,1.662105e-03,4.606600e+00
1.191378e+01,2.203366e+02,1.890536e-03,5.847800e+00
1.128457e+01,2.301939e+02,2.110903e-03,7.127200e+00
1.078806e+01,2.379554e+02,2.312124e-03,8.327600e+00
1.041379e+01,2.438214e+02,2.483051e-03,9.360800e+00
1.015296e+01,2.479264e+02,2.613511e-03,1.014980e+01
9.999080e+00,2.503571e+02,2.695331e-03,1.063360e+01
9.948224e+00,2.511621e+02,2.723215e-03,1.082270e+01
9.999080e+00,2.503571e+02,2.695331e-03,1.063360e+01
1.015296e+01,2.479264e+02,2.613511e-03,1.014980e+01
1.041379e+01,2.438214e+02,2.483051e-03,9.360800e+00
1.078806e+01,2.379554e+02,2.312124e-03,8.327600e+00
1.128457e+01,2.301939e+02,2.110903e-03,7.127200e+00
1.191378e+01,2.203366e+02,1.890536e-03,5.847800e+00
1.268604e+01,2.080860e+02,1.662105e-03,4.606600e+00
1.360699e+01,1.929867e+02,1.435710e-03,3.523900e+00
1.466558e+01,1.743000e+02,1.219770e-03,2.542900e+00
1.579925e+01,1.506973e+02,1.020553e-03,1.764300e+00
1.676638e+01,1.192954e+02,8.415190e-04,1.121600e+00
1.616127e+01,7.032539e+01,6.591858e-04,5.696000e-01
1.755354e+01,7.931558e+01,6.533985e-04,5.830000e-01
1.821078e+01,1.345458e+02,8.341310e-04,1.148800e+00
1.716034e+01,1.699620e+02,1.011593e-03,1.819300e+00
1.592901e+01,1.965820e+02,1.209062e-03,2.634400e+00
1.477921e+01,2.176575e+02,1.423105e-03,3.592300e+00
1.377892e+01,2.346870e+02,1.647513e-03,4.747800e+00
1.294014e+01,2.485038e+02,1.873938e-03,5.970500e+00
1.225672e+01,2.596212e+02,2.092370e-03,7.236300e+00
1.171744e+01,2.683749e+02,2.291825e-03,8.490000e+00
1.131093e+01,2.749908e+02,2.461251e-03,9.599600e+00
1.102763e+01,2.796206e+02,2.590566e-03,1.045860e+01
1.086049e+01,2.823620e+02,2.671667e-03,1.096910e+01
1.080525e+01,2.832699e+02,2.699307e-03,1.115440e+01
1.086049e+01,2.823620e+02,2.671667e-03,1.096910e+01
1.102763e+01,2.796206e+02,2.590566e-03,1.045860e+01
1.131093e+01,2.749908e+02,2.461251e-03,9.599600e+00
1.171744e+01,2.683749e+02,2.291825e-03,8.490000e+00
1.225672e+01,2.596212e+02,2.092370e-03,7.236300e+00
1.294014e+01,2.485038e+02,1.873938e-03,5.970500e+00
1.377892e+01,2.346870e+02,1.647513e-03,4.747800e+00
1.477921e+01,2.176575e+02,1.423105e-03,3.592300e+00
1.592901e+01,1.965820e+02,1.209062e-03,2.634400e+00
1.716034e+01,1.699620e+02,1.011593e-03,1.819300e+00
1.821078e+01,1.345458e+02,8.341310e-04,1.148800e+00
1.755354e+01,7.931558e+01,6.533985e-04,5.830000e-01
1.903106e+01,8.954396e+01,6.472147e-04,5.905000e-01
1.974362e+01,1.518965e+02,8.262368e-04,1.147800e+00
1.860476e+01,1.918799e+02,1.002019e-03,1.850800e+00
1.726978e+01,2.219328e+02,1.197619e-03,2.721500e+00
1.602321e+01,2.457262e+02,1.409637e-03,3.724300e+00
1.493873e+01,2.649518e+02,1.631921e-03,4.831400e+00
1.402933e+01,2.805503e+02,1.856203e-03,6.139100e+00
1.328839e+01,2.931014e+02,2.072568e-03,7.423300e+00
1.270372e+01,3.029840e+02,2.270135e-03,8.633900e+00
1.226300e+01,3.104530e+02,2.437958e-03,9.735000e+00
