Tempearture [C],Temperature [K],IWC [g/m3]
-67.0299049,206.1200951,0.000135147
-66.99605113,206.1539489,0.001768252
-66.99313271,206.1568673,0.00148749
-66.99313271,206.1568673,0.00131763
-67.04566441,206.1043356,0.001244324
-66.96686686,206.1831331,0.00040036
-66.99313271,206.1568673,5.94332E-05
-66.99313271,206.1568673,0.054197539
-67.04566441,206.1043356,0.029708392
-66.96686686,206.1831331,0.012308446
-66.93534784,206.2146522,0.002645244
-66.94435327,206.2056467,0.002351724
-66.94060101,206.209399,0.002076169
-66.91433516,206.2356648,0.000126381
-66.94060101,206.209399,0.083267941
-66.86930798,206.280692,0.033876916
-66.99313271,206.1568673,0.006692502
-66.91433516,206.2356648,0.005224719
-66.94060101,206.209399,0.00417278
-66.86180346,206.2881965,0.00084657
-66.87931402,206.270686,0.000238861
-66.88806931,206.2619307,7.52333E-05
-66.99313271,206.1568673,4.57016E-05
-66.94060101,206.209399,2.91503E-05
-66.85129711,206.2987029,0.038554267
-66.81452492,206.3354751,0.001097706
-66.8355376,206.3144624,0.000685475
-66.82678232,206.3232177,0.000479123
-66.83928987,206.3107101,0.000323593
-66.77106688,206.3789331,0.000152375
-66.88806931,206.2619307,9.22377E-05
-66.79613883,206.3538612,5.39899E-05
-66.7304742,206.4195258,0.003564606
-66.71921741,206.4307826,0.000548981
-66.86180346,206.2881965,3.77168E-05
-66.6779425,206.4720575,0.022460414
-66.65918118,206.4908188,0.001745636
-66.6779425,206.4720575,0.001456605
-66.65167665,206.4983233,0.001263171
-66.66480958,206.4851904,0.000294659
-66.80927175,206.3407282,5.88323E-05
-66.6254108,206.5245892,0.01636472
-66.60439812,206.5456019,0.004823394
-66.6254108,206.5245892,0.002654626
-66.66918722,206.4808128,0.000647294
-66.62916307,206.5208369,0.000200372
-66.6254108,206.5245892,0.000117869
-66.54661325,206.6033867,0.000949194
-66.5728791,206.5771209,0.000802984
-66.54661325,206.6033867,0.00023889
-66.5203474,206.6296526,0.013085845
-66.5203474,206.6296526,0.001118881
-66.50158608,206.6484139,0.000708541
-66.50840838,206.6415916,0.000451261
-66.49933472,206.6506653,0.000353596
-66.59914495,206.550855,0.014942035
-66.42841692,206.7215831,0.000234246
-66.4678157,206.6821843,0.000164608
-66.54661325,206.6033867,0.000141699
-66.4678157,206.6821843,5.00444E-05
-66.40402721,206.7459728,0.038626848
-66.38901815,206.7609819,0.002232649
-66.415284,206.734716,0.000535983
-66.4678157,206.6821843,8.83488E-05
-66.3627523,206.7872477,0.032475071
-66.44154985,206.7084502,0.022083691
-66.44154985,206.7084502,0.001870029
-66.415284,206.734716,0.001630183
-66.3627523,206.7872477,0.001477211
-66.415284,206.734716,0.001256712
-66.38901815,206.7609819,0.000296276
-66.44154985,206.7084502,2.29852E-05
-66.415284,206.734716,0.016867281
-66.35399701,206.796003,0.00459622
-66.3102206,206.8397794,0.002863342
-66.27344841,206.8765516,0.000208854
-66.33648645,206.8135136,0.000122503
-66.28395475,206.8660453,0.000964546
-66.28395475,206.8660453,0.012424509
-66.2051572,206.9448428,0.000733714
-66.2576889,206.8923111,0.000675041
-66.23142305,206.918577,0.00048119
-66.2051572,206.9448428,0.000405922
-66.29708767,206.8529123,0.000359882
-66.1939004,206.9560996,0.041014753
-66.17889134,206.9711087,0.001104162
-66.28395475,206.8660453,0.000331096
-66.12635964,207.0236404,0.000224378
-66.17889134,206.9711087,0.00017815
-66.23142305,206.918577,4.72559E-05
-66.2576889,206.8923111,1.63012E-05
-66.23142305,206.918577,0.002448177
-66.15262549,206.9973745,0.03319171
-66.04756209,207.1024379,0.001983324
-66.12635964,207.0236404,2.0985E-05
-65.96876454,207.1812355,0.002981125
-65.94249869,207.2075013,0.059238015
-65.94249869,207.2075013,0.001527613
-66.02129624,207.1287038,0.00089723
-65.99503039,207.1549696,0.000462095
-65.96876454,207.1812355,0.000401135
-65.89872227,207.2512777,0.000283221
-65.96876454,207.1812355,0.000198947
-65.89522016,207.2547798,9.63038E-05
-65.88996699,207.260033,0.00126287
-65.83743529,207.3125647,0.001111132
-65.83743529,207.3125647,0.000232435
-65.78490359,207.3650964,0.002481037
-65.70610604,207.443894,0.001994835
-65.73237189,207.4176281,0.003096024
-65.75863774,207.3913623,0.059634977
-65.61154898,207.538451,0.001456118
-65.70610604,207.443894,0.000699221
-65.62730849,207.5226915,0.096124327
-65.62730849,207.5226915,0.000278077
-65.62730849,207.5226915,9.79642E-05
-65.62730849,207.5226915,0.001101742
-65.52224508,207.6277549,0.000216176
-65.52224508,207.6277549,0.000182978
-65.40524266,207.7447573,0.002136422
-65.36464998,207.78535,0.116459914
-65.31211828,207.8378817,0.004890132
-65.2911056,207.8588944,0.001244897
-65.33838413,207.8116159,0.000625594
-65.33838413,207.8116159,0.000490876
-65.23332073,207.9166793,0.000400233
-65.23332073,207.9166793,0.000199455
-65.20705488,207.9429451,9.50265E-05
-65.20705488,207.9429451,0.000801289
-65.18078903,207.969211,0.1861421
-65.18078903,207.969211,0.003869359
-65.20705488,207.9429451,0.002398428
-65.20705488,207.9429451,0.002082043
-65.0809788,208.0690212,0.00142675
-65.10199148,208.0480085,0.037552956
-65.04945978,208.1005402,0.015265359
-65.12825733,208.0217427,0.005548174
-65.04945978,208.1005402,0.003193318
-65.03069846,208.1193015,0.001674181
-65.06617441,208.0838256,0.000278988
-65.04945978,208.1005402,4.62933E-05
-64.99167491,208.1583251,0.004710208
-64.99692808,208.1530719,0.001202338
-64.97066223,208.1793378,0.000962674
-64.98498905,208.1650109,0.000594706
-64.94439638,208.2056036,0.069143749
-64.93245735,208.2175426,0.055497212
-65.02319393,208.1268061,0.01309624
-64.94439638,208.2056036,0.00047376
-65.02319393,208.1268061,5.64702E-05
-64.88811241,208.2618876,0.000213395
-64.97066223,208.1793378,0.000159887
-64.89186468,208.2581353,0.000103713
-64.81306712,208.3369329,0.002847576
-64.83933297,208.310667,0.000877475
-64.82807618,208.3219238,0.000439802
-64.83933297,208.310667,0.000317623
-64.83933297,208.310667,0.000255342
-64.78680127,208.3631987,0.006305065
-64.76578859,208.3842114,0.001298653
-64.80256078,208.3474392,0.000121704
-64.73426957,208.4157304,0.247811122
-64.72551429,208.4244857,0.089208738
-64.83933297,208.310667,0.015947576
-64.76053542,208.3894646,0.005570003
-64.73051731,208.4194827,0.003949314
-64.70800372,208.4419963,0.003339546
